instrumentToken|instrumentName|name|lastPrice|expiry|strike|tickSize|lotSize|instrumentType|segment|exchange|isin|multiplier|exchangeToken|OptionType
87850|95MFL21D|Secured Redeemable NCDs - Tranche III - Option IV - 9.50% Per Annum.|1085|0|0|0.010000|1|ZZ|-|BSE|INE414G07DW7|1|936932|-
87869|0MFL24C|Secured Redeemable NCDs - Tranche III - Option IX -Zero Coupon.|1248.4|0|0|0.010000|1|ZZ|-|BSE|INE414G07EB9|1|936942|-
87856|975MFL23|Secured Redeemable NCDs - Tranche III - Option V - 9.75% Per Annum.|1100|0|0|0.010000|1|ZZ|-|BSE|INE414G07DX5|1|936934|-
87857|10MFL24B|Secured Redeemable NCDs - Tranche III - Option VI - 10.00% Per Annum.|1111|0|0|0.010000|1|ZZ|-|BSE|INE414G07DY3|1|936936|-
87858|0MFL21C|Secured Redeemable NCDs - Tranche III - Option VII -Zero Coupon.|1186.5|0|0|0.010000|1|ZZ|-|BSE|INE414G07DZ0|1|936938|-
87859|0MFL23A|Secured Redeemable NCDs - Tranche III - Option VIII -Zero Coupon.|1200|0|0|0.010000|1|ZZ|-|BSE|INE414G07EA1|1|936940|-
87870|0MFL27|Secured Redeemable NCDs - Tranche III - Option X -Zero Coupon.|1255|0|0|0.010000|1|ZZ|-|BSE|INE414G07EC7|1|936944|-
66132|95JFPL22|Secured Redeemable NCDs - Tranche III - Ser. I - 9.50% Per Annum.|1058|0|0|0.010000|1|ZZ|-|BSE|INE523H07AW9|1|937131|-
66133|0JFPL22A|Secured Redeemable NCDs - Tranche III - Ser. II - Zero Coupon.|1158|0|0|0.010000|1|ZZ|-|BSE|INE523H07AT5|1|937133|-
66134|97JFPL23|Secured Redeemable NCDs - Tranche III - Ser. III - 9.70% Per Annum.|1077|0|0|0.010000|1|ZZ|-|BSE|INE523H07AX7|1|937135|-
66135|0JFPL23|Secured Redeemable NCDs - Tranche III - Ser. IV - Zero Coupon.|1122|0|0|0.010000|1|ZZ|-|BSE|INE523H07AU3|1|937137|-
